ciiu;personal_mujer;personal_hombre;gasto_personal;gasto_financiero;costos_gastos_produccion;gastos_adm_ventas;inversion_AF;ventas
2429;18;83;3779808;8276256;921847;13534032;2091752;321985848
1522;73;114;5048544;719444;1127156;25363572;608679;22350267
2221;84;97;5823070;631123;1680358;3184637;975032;18689909
1051;60;75;4465352;1059690;1177027;147826282;1748439;25249646
1030;60;429;21295808;2694779;8685581;31561792;340583;29781157
2011;70;214;19375081;5034518;9135646;74473131;16697670;191763413
1090;60;192;11821945;694808;12439116;133834549;3092589;303968848
1071;151;710;58833803;1227694;57008545;122490409;73020493;632519402
1030;56;170;9684465;9473894;19196100;30480742;3446897;316395330
1030;56;170;9684465;9473894;19196100;30480742;3446897;316395330
2819;34;183;5604782;766388;3693139;7348091;154081;40511350
2229;135;273;12251533;838849;8613102;21585978;21446388;110137266
2229;135;273;12251533;838849;8613102;21585978;21446388;110137266
2023;141;142;21348524;4358470;5021094;63855308;290462;172548498
2023;365;618;84081077;13690458;55206809;256619376;89846496;792282515
1811;22;36;1872320;524922;1243055;1572329;36430;7972882
1701;72;406;50177477;1844408;44356723;49909358;15578059;365849674
1521;223;181;7919080;1236168;1219881;7350835;1240530;23857010
1521;223;181;7919080;1236168;1219881;7350835;1240530;23857010
1521;223;181;7919080;1236168;1219881;7350835;1240530;23857010
1410;110;22;2232453;1728051;293017;3078053;557743;8139262
2029;33;52;3646856;1133469;1930818;10549951;609369;27720084
1082;430;1133;59840526;1199863;41319523;183821129;16174154;731396391
1071;151;710;58833803;1227694;57008545;122490409;73020493;632519402
1071;52;547;20536798;521028;80472979;58249661;27028346;490639882
1011;89;160;7026598;2524174;1848105;12115600;0;43933205
1071;100;578;47892609;518838;44427434;87138910;42426113;388005721
1071;100;578;47892609;518838;44427434;87138910;42426113;388005721
1081;185;286;15357131;914663;5905506;2495794;3452077;106490924
1090;32;117;6407389;521606;10005028;23178261;1426849;278980187
2825;43;215;9386665;647945;5445839;5027657;364272;33370073
1921;75;531;82584027;3109502;284489977;2817734504;190568987;5693597171
3290;48;165;14388759;1298038;2411558;93408606;13803760;259751220
1090;0;36;807570;5199716;1493906;6068768;0;50855417
1051;4;20;1312298;586269;565732;2594551;61692;29630298
3290;48;165;14388759;1298038;2411558;93408606;13803760;259751220
1921;75;531;82584027;3109502;284489977;2817734504;190568987;5693597171
1104;186;794;56410101;1462823;14535774;159199749;35164028;390070138
3290;41;290;56192846;11792782;259223644;210377611;59336962;626986551
2410;58;670;47772172;536046;70322406;75631936;28422712;536687105
2029;27;391;21100236;964849;11381236;24460979;16103203;189936880
2021;28;113;14001910;8686016;21059732;39430597;25150313;379365700
2790;50;229;14560363;1126494;8638367;52055138;2479205;239853816
1104;186;794;56410101;1462823;14535774;159199749;35164028;390070138
1104;138;490;28831479;736251;3676028;66265170;8255222;95846261
1090;32;117;6407389;521606;10005028;23178261;1426849;278980187
1090;86;230;18389235;1275565;11140310;52894669;4402522;414619492
1082;430;1133;59840526;1199863;41319523;183821129;16174154;731396391
1030;50;113;5455670;509645;3374150;7574567;5051555;54086149
2229;178;120;9366994;665933;5884857;11614142;5984427;38000054
2920;66;635;22069846;1873863;9555506;25100436;4288329;110498727
2392;30;647;31690551;970855;13665190;146352989;1529403;271902768
2221;121;340;23747426;1785268;8508092;128289840;11179981;177136331
2013;34;105;5088185;534027;942121;8919706;2791005;57811869
2392;30;647;31690551;970855;13665190;146352989;1529403;271902768
2392;30;647;31690551;970855;13665190;146352989;1529403;271902768
1040;19;66;3174789;3355761;2719993;5199385;13015869;62249152
1513;235;155;13764360;1008339;3709458;113774794;7426174;19113344
2229;345;558;34302712;5438766;16535830;59142451;8095110;178891702
3250;112;121;7507488;813163;2574890;10317802;781534;52489448
2920;66;635;22069846;1873863;9555506;25100436;4288329;110498727
2930;42;279;12598883;571621;8663185;7574772;3016448;120308325
2930;42;279;12598883;571621;8663185;7574772;3016448;120308325
2920;66;635;22069846;1873863;9555506;25100436;4288329;110498727
3290;119;586;70217571;1121631;40048145;569064413;35518018;961974639
3290;214;377;23104950;5485223;40417936;64778937;1462970922;199754812
2599;50;210;10729724;4658770;4531356;12685910;1033981;91456745
2599;15;85;3236264;519579;451260;3990070;132424;18081493
2599;50;210;10729724;4658770;4531356;12685910;1033981;91456745
2599;47;197;14535620;3429677;10839509;89749320;4682533;131567450
2599;50;210;10729724;4658770;4531356;12685910;1033981;91456745
2511;37;267;8339634;4123614;3634065;11404765;1945666;11717745
2410;58;670;47772172;536046;70322406;75631936;28422712;536687105
2511;9;41;1668503;644749;304380;2481862;443504;3902852
2410;25;147;7326062;869038;2212810;15870375;180713;71941295
2310;72;271;32334949;635362;34090113;23210521;92544622;321070109
2229;345;558;34302712;5438766;16535830;59142451;8095110;178891702
2221;121;340;23747426;1785268;8508092;128289840;11179981;177136331
2229;95;67;3463432;1238380;3283021;4811972;76332;22623841
2229;402;186;13908448;658164;7397161;6932666;110872;71990163
2229;112;71;4900252;2498317;263712;25654489;7931515;6373122
2023;131;150;5455446;1096988;4595268;17034929;994640;57842908
2221;43;170;12713234;559979;9387774;103753210;1651865;85200149
2229;345;558;34302712;5438766;16535830;59142451;8095110;178891702
2221;121;340;23747426;1785268;8508092;128289840;11179981;177136331
1921;75;531;82584027;3109502;284489977;2817734504;190568987;5693597171
2029;35;36;2993054;731462;2288079;7252076;8849;21742561
2029;79;111;11160744;3291361;2040230;14034593;342577;59959110
2029;119;310;35619346;511307;21812080;113654903;6298885;355534251
2023;365;618;84081077;13690458;55206809;256619376;89846496;792282515
