Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;85290253;69335209;15955044;513429;;4397056;1036144;;11035273;;;12451274;15671501;;;;;7815046;23242;7791804;;7791804
C3091 - Fabricación de motocicletas;CAUCA;VILLA-RICA-CAUCA;92247412;78630707;13616705;5700084;14438936;6444605;;426;-1566326;;;2006624;9914413;;;;;-9474115;15516;-9489631;;-9489631
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;9358938;9671720;-312782;2654327;1262432;485516;1667121;;-1073524;;;;;;;;;-1073524;228579;-1302103;;-1302103
A0122 - Cultivo de plátano y banano;MAGDALENA;SANTA-MARTA-MAGDALENA;12322193;7628511;4693682;60225;;2962367;1761530;;30010;;;1048;175131;;;;;-144073;-16005;-128068;;-128068
C2030 - Fabricación de fibras sintéticas y artificiales;ANTIOQUIA;RIONEGRO-ANTIOQUIA;22498253;19299119;3199134;385171;1067562;522305;225413;24725;1793750;;;;420009;;;;153604;1527345;283472;1243873;;1243873
G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;BOGOTA D.C.;BOGOTA D.C.;1252673251;1148412710;104260541;;;59212685;;-2118937;42928919;;;7797501;;;;;;50726420;21803546;28922874;;28922874
K6613 - Otras actividades relacionadas con el mercado de valores;BOGOTA D.C.;BOGOTA D.C.;;;;4636201;;25686;2267378;;2343137;;;;;;;;;2343137;-2510716;4853853;;4853853
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;BOGOTA D.C.;BOGOTA D.C.;23492227;11752209;11740018;118618;148523;2894985;98569;;8716559;0;0;1576968;971264;0;0;0;0;9322263;655981;8666282;0;8666282
G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;BOGOTA D.C.;BOGOTA D.C.;93270540;25120398;68150142;1886988;21808673;27073197;3299924;484;17855820;;;;6156663;;;;;11699157;3968766;7730391;;7730391
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;ENVIGADO-ANTIOQUIA;97830649;53121535;44709114;436799;16971826;10206589;4278203;;13689295;0;0;4140612;6813720;0;0;0;0;11016187;3794837;7221350;0;7221350
F4210 - Construcción de carreteras y vías de ferrocarril;BOGOTA D.C.;BOGOTA D.C.;142093855;148540430;-6446575;3687211;0;5840788;2535365;;-11135517;;;14480449;20538979;;;;;-17194047;1676493;-18870540;;-18870540
N8220 - Actividades de centros de llamadas (Call center);BOGOTA D.C.;BOGOTA D.C.;42686509;40146216;2540293;2691621;0;3320559;237662;0;1673693;;;;0;7055704;;;;-5382011;-7395;-5374616;;-5374616
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2540913;1314379;1226534;1543974;4025;1243120;43492;;1479871;;;;796801;;;;;683070;223541;459529;;459529
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;ANTIOQUIA;RIONEGRO-ANTIOQUIA;6923784;27295200;-20371416;471153;386090;19905711;8134470;;-48326534;;;1787719;748678;;;;;-47287493;-1256384;-46031109;;-46031109
S9601 - Lavado y limpieza, incluso la limpieza en seco, de productos textiles y de piel;BOLIVAR;TURBACO-BOLIVAR;1983535;1705587;277948;63867;;1420909;168837;;-1247931;;;;;;;;;-1247931;-248268;-999663;;-999663
N8220 - Actividades de centros de llamadas (Call center);BOGOTA D.C.;BOGOTA D.C.;133167792;;133167792;16511;;124670164;;;8514139;;;984288;3484570;;;;;6013857;3228318;2785539;;2785539
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2534392;2249922;284470;;;59917;18325;;206228;;;20453;;;;;;226681;72730;153951;;153951
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;5407323;1851500;3555823;57030;;1643797;12245;;1956811;;;14282;1263078;;;;;708015;204190;503825;;503825
K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.;MAGDALENA;SANTA-MARTA-MAGDALENA;0;;0;13752963;;33819;;;13719144;;;471986;;;;;;14191130;;14191130;;14191130
C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos;BOGOTA D.C.;BOGOTA D.C.;62393593;44330677;18062916;3592321;6493349;9201862;4051712;;1908314;;0;937;765043;0;;0;0;1144208;59096;1085112;0;1085112
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;8133615;6859045;1274570;92612;501587;568675;100141;;196779;;;115407;100712;;;;;211474;68159;143315;;143315
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;17667989;17226289;441700;;;;16134;;425566;;;26163;;;;;;451729;3209;448520;;448520
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;12569944;12255696;314248;1;;2278;9108;;302863;;;29687;;;;;;332550;5856;326694;;326694
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;VALLE;CALI-VALLE;27920569;20084172;7836397;;1461042;1657986;291388;;4425981;;;;792246;;;;;3633735;1164600;2469135;-4161;2464974
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;BOGOTA D.C.;BOGOTA D.C.;10420568;5561763;4858805;49288;1086198;1650154;115480;;2056261;;;921430;1700805;;;;;1276886;474013;802873;;802873
G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;BOGOTA D.C.;BOGOTA D.C.;329106998;320691282;8415716;;;7485827;29784;;900105;;;;;;;;;900105;3428721;-2528616;;-2528616
G4511 - Comercio de vehículos automotores nuevos;BOGOTA D.C.;BOGOTA D.C.;1373549556;1222845108;150704448;;42191999;14089890;;-326259;94096300;;;2886077;3185225;;;;;93797152;30365594;63431558;;63431558
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;1378;;1378;;;;1172;;206;;;21382;8780;;;;;12808;5442;7366;;7366
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;ANTIOQUIA;MEDELLIN-ANTIOQUIA;81354;;81354;;;3791;;;77563;;;;186846;;;;;-109283;-54976;-54307;;-54307
B0620 - Extracción de gas natural;BOGOTA D.C.;BOGOTA D.C.;5778952;;5778952;14068;;52335227;42627;-267609;-46852443;;;;171387;;;;;-47023830;-291446;-46732384;;-46732384
K6494 - Otras actividades de distribución de fondos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4682823;;4682823;;;39200;;;4643623;;;;34858;;;;;4608765;32147;4576618;;4576618
K6494 - Otras actividades de distribución de fondos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4682610;;4682610;;;81864;;;4600746;;;;;;;;;4600746;32051;4568695;;4568695
K6494 - Otras actividades de distribución de fondos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4682809;;4682809;;;71388;;;4611421;;;;;;;;;4611421;32833;4578588;;4578588
L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata;SANTANDER;BUCARAMANGA-SANTANDER;1975110;147202;1827908;23408;27302;846337;41077;;936600;;;2916;122;;;;;939394;187564;751830;;751830
M7020 - Actividades de consultaría de gestión;BOGOTA D.C.;BOGOTA D.C.;19064037;15148708;3915329;;1700568;1603767;;;610994;;;;1628790;;;;;-1017796;-55744;-962052;;-962052
M7310 - Publicidad;BOGOTA D.C.;BOGOTA D.C.;9808142;0;9808142;0;0;10184261;0;159138;-216981;0;0;332680;1461260;0;0;0;0;-1345561;-596943;-748618;0;-748618
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;11963579;24962286;-12998707;;;2044970;;451474;-14592203;;;45649750;56322845;;;;;-25265298;1915166;-27180464;;-27180464
M7010 - Actividades de administración empresarial;ANTIOQUIA;RIONEGRO-ANTIOQUIA;2363133;;2363133;;;74975;68740;;2219418;;;;;;;;;2219418;22686;2196732;;2196732
F4111 - Construcción de edificios residenciales;CALDAS;MANIZALES-CALDAS;5490051;8502068;-3012017;507277;37217;674903;1937112;;-5153972;;;206969;1444243;;;;;-6391246;;-6391246;;-6391246
G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario;BOGOTA D.C.;BOGOTA D.C.;30684603;21431919;9252684;1316305;3610605;3676120;123146;;3159118;;;4069067;4548387;;;;;2679798;594009;2085789;;2085789
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;VALLE;CALI-VALLE;9289117;6989417;2299700;202727;836632;89569;2554155;;-977929;;;;;;;;;-977929;685576;-1663505;;-1663505
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;3220767;;3220767;1748306;;4657337;11115;;300621;;;130313;29859;;;;;401075;132913;268162;;268162
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;BOGOTA D.C.;BOGOTA D.C.;330560615;177997814;152562801;0;100984957;27728354;0;-3733542;20115948;0;0;20746186;20571451;0;0;0;0;20290683;12897950;7392733;0;7392733
C1811 - Actividades de impresión;VALLE;PALMIRA-VALLE;65244243;47485780;17758463;235976;9236;11663690;159950;-6218;6155345;;;21807;6383803;;;;;-206651;1052435;-1259086;;-1259086
A0145 - Cría de aves de corral;VALLE;CALI-VALLE;4118947;5357303;-1238356;0;202709;17938;;12770;-1446233;;;;13486;;;;;-1459719;-437497;-1022222;;-1022222
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2331875;2271055;60820;49451;19795;20902;100535;;-30961;;;39187;11552;;;;;-3326;9438;-12764;;-12764
F4210 - Construcción de carreteras y vías de ferrocarril;BOGOTA D.C.;BOGOTA D.C.;59038598;67754859;-8716261;21799458;;11391209;9631705;;-7939717;;;;10224300;;;;;-18164017;-332427;-17831590;;-17831590
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;73143880;73293898;-150018;371016;;7902;583397;;-370301;;;583352;1469222;;;;;-1256171;-2513794;1257623;;1257623
G4652 - Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;33252864;24257109;8995755;361169;5818167;2205311;58481;0;1274965;;;1837992;3339134;;;;;-226177;175776;-401953;;-401953
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;1430834789;1309619887;121214902;2363443;8858253;10943809;3260984;0;100515299;;;34702;25838372;;;;;74711629;20685166;54026463;;54026463
F4111 - Construcción de edificios residenciales;RISARALDA;PEREIRA-RISARALDA;360341;182194;178147;282544;277846;;129313;;53532;;;;;;;;;53532;-2353;55885;;55885
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;19897163;12906648;6990515;;;7832440;593790;;-1435715;;;72711;69510;;;;;-1432514;919175;-2351689;;-2351689
K6494 - Otras actividades de distribución de fondos;BOGOTA D.C.;BOGOTA D.C.;0;0;0;7448468;0;179012;108592;;7160864;;;502278;4857102;;;;;2806040;12144;2793896;90805;2884701
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;ANTIOQUIA;MEDELLIN-ANTIOQUIA;;;;;;2281;9378;;-11659;;;60458;1242;;;;;47557;12515;35042;;35042
C2229 - Fabricación de artículos de plástico n.c.p.;BOLIVAR;TURBACO-BOLIVAR;44387816;38900909;5486907;590368;4106078;2130811;5282957;-44607;-5487178;;;;3347248;;;;;-8834426;-1460591;-7373835;;-7373835
K6422 - Actividades de las compañías de financiamiento;BOGOTA D.C.;BOGOTA D.C.;60251593;40676961;19574632;226740;;16716520;165173;;2919679;;;;;;;;;2919679;1380337;1539342;;1539342
C2022 - Fabricación de pinturas, barnices y revestimientos similares, tintas para impresión y masillas;BOGOTA D.C.;BOGOTA D.C.;44414453;32034526;12379927;425257;4585302;2441870;17459;0;5760553;0;0;146066;637878;0;0;0;0;5268741;369535;4899206;0;4899206
J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);BOGOTA D.C.;BOGOTA D.C.;394800098;;394800098;8216589;586534733;36581829;7975750;;-228075625;;;;3880561;2375554;;;;-234331740;6498;-234338238;;-234338238
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;23637706;21816476;1821230;188258;;618817;6832;;1383839;;;18173;59767;;;;;1342245;392520;949725;;949725
H5210 - Almacenamiento y depósito;BOLIVAR;CARTAGENA-BOLIVAR;10454895;3736004;6718891;;89711;1471468;1064;;5156648;;;;2394189;;;;;2762459;402797;2359662;;2359662
G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;HUILA;NEIVA-HUILA;11799496;10169723;1629773;126176;;1329347;9153;;417449;;;;38885;;;;;378564;126469;252095;;252095
N7730 - Alquiler y arrendamiento de otros tipos de maquinaria, equipo y bienes tangibles n.c.p.;VALLE;PALMIRA-VALLE;12355154;8307973;4047181;247570;160646;49074;2366380;;1718651;;;;;;;;;1718651;866784;851867;;851867
C2013 - Fabricación de plásticos en formas primarias;BOGOTA D.C.;BOGOTA D.C.;32465766;23819987;8645779;;915221;2066177;;670036;6334417;;;117;2711775;;;;;3622759;34400;3588359;;3588359
G4762 - Comercio al por menor de artículos deportivos, en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;138085509;79183285;58902224;215866;40888957;8601793;5761056;;3866284;;;219858;9065149;;;;;-4979007;-1036026;-3942981;;-3942981
J6120 - Actividades de telecomunicaciones inalámbricas;BOGOTA D.C.;BOGOTA D.C.;46068059;;46068059;;;45240996;;;827063;;;;22893638;;;;;-22066575;728236;-22794811;;-22794811
C3250 - Fabricación de instrumentos, aparatos y materiales médicos y odontológicos (incluido mobiliario);CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;36904769;29456225;7448544;;1585403;1505411;508948;28935;3877717;;;;1599030;;;;;2278687;697772;1580915;;1580915
G4511 - Comercio de vehículos automotores nuevos;RISARALDA;PEREIRA-RISARALDA;179447624;152198393;27249231;34488551;11563435;44594469;935850;;4644028;;;81092010;123471865;;;;;-37735827;-3268296;-34467531;;-34467531
G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;3228263658;2783160674;445102984;11093109;440494379;149301747;28288755;;-161888788;;;757672;91617767;;;;;-252748883;;-252748883;;-252748883
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;VALLE;CALI-VALLE;31762245;17562198;14200047;66485;8249705;856625;27355;;5132847;;;457732;732549;223543;;;;4634487;1532520;3101967;;3101967
C1090 - Elaboración de alimentos preparados para animales;CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;67567593;64657716;2909877;184157;1554461;665803;120812;;752958;;;131633;496369;;;;;388222;387322;900;;900
C2394 - Fabricación de cemento, cal y yeso;ANTIOQUIA;MEDELLIN-ANTIOQUIA;11521136;9500203;2020933;;215521;715824;99203;;990385;;;10630;467302;;;;;533713;;533713;;533713
B0610 - Extracción de petróleo crudo;BOGOTA D.C.;BOGOTA D.C.;347493551;350554421;-3060870;0;0;2607003;1675;0;-5669548;0;0;128471;0;0;0;0;0;-5541077;1135;-5542212;0;-5542212
A0126 - Cultivo de palma para aceite (palma africana) y otros frutos oleaginosos;BOGOTA D.C.;BOGOTA D.C.;9802431;5560880;4241551;888150;842827;2099451;1122345;;1065078;;;;;;;;;1065078;323687;741391;;741391
G4511 - Comercio de vehículos automotores nuevos;BOGOTA D.C.;BOGOTA D.C.;78742417;69148355;9594062;;1907239;6314316;;;1372507;;;6871653;7207199;;;;;1036961;-81831;1118792;;1118792
C2221 - Fabricación de formas básicas de plástico;CUNDINAMARCA;COTA-CUNDINAMARCA;44081967;32027466;12054501;5106962;1401388;8893422;1863232;;5003421;;;;457414;;;;;4546007;2238274;2307733;2172725;4480458
C2229 - Fabricación de artículos de plástico n.c.p.;VALLE;YUMBO-VALLE;40293644;35064416;5229228;289638;6919014;2893597;555296;;-4849041;0;0;7648116;12394200;0;0;0;0;-9595125;684470;-10279595;0;-10279595
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;36572706;24362860;12209846;;7827823;4632414;318302;;-568693;;;38749;;;;;;-529944;38710;-568654;;-568654
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;17582149;12131937;5450212;265829;868420;872286;1;205075;4180409;;;1467;170244;;;;;4011632;1290628;2721004;;2721004
B0812 - Extracción de arcillas de uso industrial, caliza, caolín y bentonitas;ANTIOQUIA;SABANETA-ANTIOQUIA;75047581;61653629;13393952;;12860884;2258588;;400341;-1325179;;;209269;7312897;;;;69137;-8359670;-2511798;-5847872;;-5847872
C2394 - Fabricación de cemento, cal y yeso;ANTIOQUIA;SONSON-ANTIOQUIA;268142043;147359095;120782948;;66433280;20915685;;1688724;35122707;;;1106882;41100838;;;;1364993;-3506256;-1311398;-2194858;;-2194858
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;RIONEGRO-ANTIOQUIA;47611507;22813311;24798196;1358376;16765303;9593570;1268861;;-1471162;;;634691;3775489;;;;;-4611960;52006;-4663966;;-4663966
F4220 - Construcción de proyectos de servicio público;ANTIOQUIA;MEDELLIN-ANTIOQUIA;128397;133572;-5175;5381;20661;28329;6415;;-55199;;;65748;91927;-1794;;;;-79584;7324;-86908;;-86908
J6202 - Actividades de consultoría informática y actividades de administración de instalaciones informáticas;BOGOTA D.C.;BOGOTA D.C.;62396783;51205045;11191738;;9037192;12783234;0;551926;-10076762;;;131271;;13532;;;;-9959023;-49056;-9909967;;-9909967
G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;209537978;107450900;102087078;;66786465;11467772;;-1879639;21953202;;;273447;5544644;;;;;16682005;6524343;10157662;;10157662
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;102970385;86276542;16693843;84859;;1145945;567166;;15065591;;;3814361;3744000;;;;;15135952;5174618;9961334;;9961334
C2229 - Fabricación de artículos de plástico n.c.p.;CAUCA;VILLA-RICA-CAUCA;32991265;26523356;6467909;2612799;;2732228;5037080;;1311400;;;;2960711;;;;;-1649311;41686;-1690997;;-1690997
G4669 - Comercio al por mayor de otros productos n.c.p.;CUNDINAMARCA;TENJO-CUNDINAMARCA;264677667;190284918;74392749;;39427717;17170228;;;17794804;;;181066;10662513;;;;;7313357;5667263;1646094;;1646094
I5619 - Otros tipos de expendio de comidas preparadas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;213373966;76203917;137170049;7405258;112222225;17753706;3062330;;11537046;;;;;;-5546531;;;5990515;3646619;2343896;;2343896
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;;;;;;2275;113;;-2388;;;217107;16603;;;;;198116;63487;134629;;134629
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;2214219;615373;1598846;80541;;2709655;;;-1030268;;;5566;21185;;;;;-1045887;;-1045887;;-1045887
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;78979749;65664451;13315298;287924;;1826037;322197;;11454988;;;3926687;3593597;;;;;11788078;3789757;7998321;;7998321
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;BOGOTA D.C.;BOGOTA D.C.;34208727;16462486;17746241;;;16369977;;;1376264;;;;3745487;;2020148;;;-349075;-182894;-166181;;-166181
N8220 - Actividades de centros de llamadas (Call center);ANTIOQUIA;MEDELLIN-ANTIOQUIA;60166809;48787857;11378952;435709;;2952990;90546;;8771125;;;36233;2569279;-235;;;;6238314;1380960;4857354;;4857354
F4290 - Construcción de otras obras de ingeniería civil;BOGOTA D.C.;BOGOTA D.C.;1036263;;1036263;665778;140;1593791;588045;;-479935;;;;;;;;;-479935;7940;-487875;;-487875
C2229 - Fabricación de artículos de plástico n.c.p.;CUNDINAMARCA;MOSQUERA-CUNDINAMARCA;62533040;45877584;16655456;168252;2517784;2041094;102582;;12162248;;;1098953;2593787;;;;;10667414;1962900;8704514;;8704514
G4511 - Comercio de vehículos automotores nuevos;BOGOTA D.C.;BOGOTA D.C.;44414641;39222933;5191708;1765192;9749225;128008;;;-2920333;;;211147;2483123;;799;;;-5191510;-2069004;-3122506;;-3122506
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;ANTIOQUIA;MEDELLIN-ANTIOQUIA;29308274;35943251;-6634977;88421;;5765480;1116000;;-13428036;;;80893;742818;309959;402758;;;-13997162;-3707999;-10289163;;-10289163
F4111 - Construcción de edificios residenciales;CESAR;VALLEDUPAR-CESAR;4344763;3134370;1210393;45517;0;594803;953;;660154;0;0;73;55040;0;0;0;0;605187;41365;563822;0;563822
C2395 - Fabricación de artículos de hormigón, cemento y yeso;BOLIVAR;TURBACO-BOLIVAR;29018784;26730235;2288549;;527424;484521;;;1276604;;;184138;646927;;;;;813815;187996;625819;;625819
G4662 - Comercio al por mayor de metales y productos metalíferos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;73390887;70507400;2883487;;;428172;;;2455315;;;954632;1015322;;;;;2394625;743119;1651506;;1651506
G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador;BOGOTA D.C.;BOGOTA D.C.;29145746;11343042;17802704;606007;17155659;11682720;2312527;;-12742195;;;216088;;;;;;-12526107;-2614975;-9911132;;-9911132
H5210 - Almacenamiento y depósito;BOLIVAR;CARTAGENA-BOLIVAR;5638572;1172464;4466108;;2107238;273998;538585;253982;1800269;;;;;;;;;1800269;747134;1053135;;1053135
H5221 - Actividades de estaciones, vías y servicios complementarios para el transporte terrestre;BOGOTA D.C.;BOGOTA D.C.;44481857;25506516;18975341;;;4547083;;1038797;15467055;;;;242184;;;;;15224871;4951628;10273243;;10273243
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;10347795;7288690;3059105;45168;;4943080;66823;;-1905630;;;;;;;;;-1905630;-242242;-1663388;;-1663388
H5210 - Almacenamiento y depósito;CAUCA;POPAYAN-CAUCA;2035661;19102;2016559;63986;;1414655;555036;;110854;;;7476;87287;;;;;31043;-79089;110132;;110132
G4511 - Comercio de vehículos automotores nuevos;BOGOTA D.C.;BOGOTA D.C.;62410604;39695023;22715581;3348377;10184215;5340158;206951;;10332634;0;0;0;5098967;0;0;0;0;5233667;8915849;-3682182;;-3682182
F4111 - Construcción de edificios residenciales;VALLE;CALI-VALLE;3124024;2887533;236491;44420;183033;39622;10405;0;47851;;;24039;2759;;;;;69131;11002;58129;;58129
G4669 - Comercio al por mayor de otros productos n.c.p.;CUNDINAMARCA;FUNZA-CUNDINAMARCA;7354410;6476060;878350;6829525;271255;1577394;14547;;5844679;;;2077735;2731345;;;;;5191069;1698278;3492791;;3492791
C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados;BOLIVAR;TURBACO-BOLIVAR;21270011;18500848;2769163;43441;696669;456563;38206;;1621166;;;;1154983;;;;;466183;100284;365899;;365899
F4111 - Construcción de edificios residenciales;BOGOTA D.C.;BOGOTA D.C.;0;0;0;;0;27864;0;0;-27864;0;0;20610;0;0;0;-96159;0;-103413;276;-103689;0;-103689
R9200 - Actividades de juegos de azar y apuestas;BOGOTA D.C.;BOGOTA D.C.;35714052;25762913;9951139;102691;4525628;3782742;4828;;1740632;;;53314;539754;;;;;1254192;130476;1123716;;1123716
J6110 - Actividades de telecomunicaciones alámbricas;BOGOTA D.C.;BOGOTA D.C.;41195728;58624617;-17428889;241071;;28179141;1080603;;-46447562;;;3281520;73815192;;;;;-116981234;230999;-117212233;;-117212233
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;BOGOTA D.C.;BOGOTA D.C.;51796977;22009575;29787402;319893;31845906;;;-187864;-1926475;;;16095;;;;;;-1910380;1227456;-3137836;;-3137836
M7020 - Actividades de consultaría de gestión;ANTIOQUIA;SABANETA-ANTIOQUIA;10409594;7729692;2679902;;;2827079;279844;;-427021;;;1036347;176370;;;;;432956;383953;49003;;49003
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;BOGOTA D.C.;BOGOTA D.C.;5786635;9583183;-3796548;;4119;3838889;2285583;;-9925139;;;2536770;8389929;;;;;-15778298;-463679;-15314619;;-15314619
G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados;BOGOTA D.C.;BOGOTA D.C.;32941710;18112863;14828847;;56827504;33359956;5009538;;-80368151;;;;22807956;;;;;-103176107;-9605146;-93570961;;-93570961
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;3775798;3460297;315501;235929;41564;174646;7;;335213;;;13692;16099;;;;;332806;103141;229665;;229665
H4923 - Transporte de carga por carretera;VALLE;YUMBO-VALLE;16704620;14904217;1800403;848151;557710;864887;19670;;1206287;0;0;25775;132126;0;0;0;0;1099936;344468;755468;0;755468
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;;;;;;490;22919;;-23409;;;31818;;;;;;8409;2603;5806;;5806
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;ATLANTICO;BARRANQUILLA-ATLANTICO;5366589;4735897;630692;600;;7002;;;624290;;;3543;66577;;;;;561256;60425;500831;;500831
G4669 - Comercio al por mayor de otros productos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;59114100;37277283;21836817;;14166888;3896793;;-3027091;746045;;;;614217;;;;;131828;140581;-8753;;-8753
M7490 - Otras actividades profesionales, científicas y técnicas n.c.p.;ATLANTICO;BARRANQUILLA-ATLANTICO;163354223;;163354223;;154132947;2689996;;;6531280;;;;1574502;;;;;4956778;1434810;3521968;;3521968
