Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
G4690 - Comercio al por mayor no especializado;VALLE;CALI-VALLE;8305486;5640484;2665002;47248;1837046;319762;215904;0;339538;0;0;0;0;0;0;0;0;339538;107168;232370;0;232370
P8522 - Educación media académica;BOGOTA D.C.;BOGOTA D.C.;30107496;411041;29696455;979451;;30204024;43474;;428408;;;65361;212509;;;;;281260;188746;92514;;92514
C1090 - Elaboración de alimentos preparados para animales;CUNDINAMARCA;FUNZA-CUNDINAMARCA;110515109;81917863;28597246;125359;14140460;7540564;223396;0;6818185;;;34207;388087;;;;;6464305;1904393;4559912;;4559912
G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;ANTIOQUIA;MEDELLIN-ANTIOQUIA;177755435;154162943;23592492;2624761;13067323;11375035;162703;247647;1859839;;99832;35932;4336448;253765;;;;-2594610;-328913;-2265697;;-2265697
C2910 - Fabricación de vehículos automotores y sus motores;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;16747373;13882927;2864446;225863;121466;2099831;332007;;537005;;;;428752;;;;;108253;62176;46077;;46077
C2011 - Fabricación de sustancias y productos químicos básicos;BOGOTA D.C.;BOGOTA D.C.;118137891;94636463;23501428;83343;7236582;2760560;227107;;13360522;;;107004;51822;;;;;13415704;4175674;9240030;;9240030
C1062 - Descafeinado, tostión y molienda del café;CALDAS;MANIZALES-CALDAS;79871833;54949777;24922056;553390;4924394;4975146;25620;;15550286;;;944945;693372;;;;;15801859;5044911;10756948;;10756948
C2392 - Fabricación de materiales de arcilla para la construcción;CUNDINAMARCA;SOACHA-CUNDINAMARCA;2926268;2464240;462028;106377;57295;186289;252045;;72776;;;75;15967;;;;;56884;41576;15308;;15308
C1063 - Otros derivados del café;ANTIOQUIA;MEDELLIN-ANTIOQUIA;111235862;83921324;27314538;;1906063;5753104;;-2184821;17470550;;;57190;939505;;;;;16588235;5427186;11161049;;11161049
C2221 - Fabricación de formas básicas de plástico;BOLIVAR;CARTAGENA-BOLIVAR;60143622;48120962;12022660;;2825706;5145594;37933;;4013427;;;28748;477961;;2412930;;;5977144;641837;5335307;;5335307
