estado;año_inicio_comercialización;tipo;espacio_de_comercialización;corregimiento_o_barrio;sexo;inscrito_en_cedezo;tipo_de_inscripción;comuna;productos;"vereda"
activo;2016;productor;parque belén;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;frutas y verduras;"urquitá"
activo;2016;productor;parque belén;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;frutas y verduras;"urquitá"
activo;2017;productor;eventos;santa elena;masculino;no se encuentra inscrito;directo;santa elena;fresa, con produccion semanal de 50 kilos y uchuva con un promedio de 35 bandejas semanales y en pequeñas cantidades con la papa.;"piedra gorda"
activo;2016;productor;parque belén;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;frutas y verduras;"urquitá"
activo;2016;productor;parque belén;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;frutas y verduras;"la volcana"
activo;2016;productor;parque belén;san sebastian de palmitas;femenino;no se encuentra inscrito;directo;san sebastian de palmitas;frutas y verduras/ huevos;"la frisola"
activo;2016;transformador;parque belén;altavista;femenino;no se encuentra inscrito;directo;altavista;fritos;"central"
activo;2016;productor;la floresta;santa elena;femenino;no se encuentra inscrito;directo;santa elena;verduras;"el rosario"
activo;2016;productor;parque belén;santa elena;femenino;no se encuentra inscrito;directo;santa elena;frutas y verduras;"barro blanco"
activo;2016;productor;parque belén;santa elena;femenino;no se encuentra inscrito;directo;santa elena;frutas y verduras;"barro blanco"
activo;2016;productor;la presidenta;santa elena;femenino;no se encuentra inscrito;directo;santa elena;verduras;"el plan"
activo;2016;transformador;parque belén;altavista;femenino;no se encuentra inscrito;directo;altavista;arepas cuajada;"central"
activo;2016;productor;laureles;santa elena;femenino;no se encuentra inscrito;directo;santa elena;verduras;"el placer"
inactivo;2016;transformador;inactivo;san antonio de prado;masculino;2. orientacion (ingreso al programa);directo;san antonio de prado;aceite de coco;"central"
activo;2016;productor;parque de la vida;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"mazo"
activo;2016;productor;mon y velarde;santa elena;masculino;no se encuentra inscrito;directo;santa elena;verduras y flores;"barro blanco"
activo;2016;productor;pilarica;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;hortalizas;"la potrera"
activo;2016;transformador;pilarica;san cristobal;masculino;2. orientacion (ingreso al programa);directo;san cristobal;chorizos gourmet y papa rellena;"no dato"
activo;2016;transformador;pilarica;caicedo;femenino;no se encuentra inscrito;directo;caicedo;gelatina de pata;"no dato"
activo;2016;productor;pilarica;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"media luna"
activo;2016;transformador;la presidenta;santa elena;masculino;2. orientacion (ingreso al programa);directo;santa elena;dulces;"mazo"
inactivo;2016;transformador;inactivo;medellin;femenino;2. orientacion (ingreso al programa);directo;medellin;arepas artesanales;"robledo"
activo;2016;productor;la presidenta;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"no dato"
activo;2016;transformador;la presidenta;san cristobal;masculino;2. orientacion (ingreso al programa);directo;san cristobal;guarapo natural;"el llano"
activo;2016;productor-plantas;laureles;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;suculentas;"las playas"
activo;2016;productor;san antonio de prado;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;frutas y verduras;"astilleros"
activo;2016;productor-transformador;san antonio de prado;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;hortalizas,frutas y transformados;"la florida"
activo;2016;productor;san antonio de prado;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;hortalizas;"montañita"
activo;2016;transformador;san antonio de prado;san antonio de prado;femenino;2. orientacion (ingreso al programa);directo;san antonio de prado;arepas empanada, tortas chocolo;"montañita"
activo;2016;productor;san antonio de prado;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;hortalizas y trasnformados;"la florida"
activo;2016;productor;san joaquin;santa elena;femenino;no se encuentra inscrito;directo;santa elena;verduras;"el rosario"
inactivo;2016;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;pan integral;"no dato"
activo;2016;productor;san joaquin;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras;"la potrera"
activo;2016;transformador;san joaquin;san sebastian de palmitas;masculino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;chorizos;"la cruz"
activo;2016;transformador;san joaquin;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;encurtidos,mermeladas, natilla;"la loma"
activo;2016;transformador;nuevo occidente;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;palitos y pazerotis;"no dato"
inactivo;2016;transformador;inactivo;altavista;masculino;2. orientacion (ingreso al programa);directo;altavista;salpicon;"centralidad"
activo;2016;productor;san joaquin;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;verduras;"el llano"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;femenino;no se encuentra inscrito;directo;san sebastian de palmitas;comidas;"la cruz"
activo;2016;transformador;suramericana;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;fritos;"el llano"
inactivo;2016;productor;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;verduras;"el placer"
activo;2017;productor;mon y velarde;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"el llano se"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;femenino;no se encuentra inscrito;directo;san sebastian de palmitas;tortas;"no dato"
activo;2016;productor;la presidenta;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras;"urquitá"
activo;2016;transformador;la presidenta;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;arepas;"limonar"
activo;2016;productor;la presidenta;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;hortalizas;"miserengo"
activo;2016;transformador;eventos;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;chorizos, morcilla;"central"
inactivo;2016;transformador;inactivo;altavista;masculino;no se encuentra inscrito;directo;altavista;productos en semilla de melon;"no dato"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;femenino;no se encuentra inscrito;directo;san sebastian de palmitas;tamales, fiambres, arepas;"palmitas sector central"
activo;2016;productor;barrio cristobal;santa elena;femenino;no se encuentra inscrito;directo;santa elena;agricultura, brevas, chocolo;"media luna"
activo;2016;transformador;san antonio de prado;san antonio de prado;masculino;2. orientacion (ingreso al programa);directo;san antonio de prado;morcilla, tamales;"el vergel"
activo;2016;transformador;eventos;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;postres de naranja y piña;"no dato"
inactivo;2016;productor;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;pdtos. agricolas verduras y hortalizas;"el placer"
inactivo;2016;transformador;inactivo;medellin;femenino;no se encuentra inscrito;directo;medellin;brownies de sabores exóticos y galletas artesanales ;"no dato"
inactivo;2016;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;frutimichelada con frutas (sin licor);"no dato"
activo;2016;transformador;eventos;san sebastian de palmitas;masculino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;encurtidos;"palmitas sector central"
activo;2016;transformador;ciudad del rio;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;tamales,fiambre, morcilla, natilla;"otro"
inactivo;2016;transformador;inactivo;san sebastian de palmitas;femenino;no se encuentra inscrito;directo;san sebastian de palmitas;tamales, morcilla, chorizos, quesitos;"palmitas sector central"
inactivo;2016;transformador;eventos;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;tamales, fiambres,;"la loma"
inactivo;2016;productor;inactivo;san antonio de prado;femenino;no se encuentra inscrito;directo;san antonio de prado;plantas, aromaticas y hortalizas;"san jose"
inactivo;2016;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;patacones;"no dato"
inactivo;2016;transformador;inactivo;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;guarapo;"no dato"
inactivo;2017;transformador;inactivo;santa elena;femenino;2. orientacion (ingreso al programa);directo;santa elena;panaderia artesanal;"mazo"
inactivo;2017;transformador;inactivo;altavista;femenino;no se encuentra inscrito;directo;altavista;frutas caladas;"no dato"
inactivo;2017;productor;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;plantas ornamentales;"no dato"
inactivo;2017;productor;inactivo;moravia;femenino;no se encuentra inscrito;directo;moravia;orquideas;"no dato"
inactivo;2017;productor;inactivo;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;hortalizas;"proteritos"
activo;2017;productor;parque de la vida;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"boqueron"
activo;2017;transformador;parque de la vida;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;dulces;"central"
inactivo;2017;transformador;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;aceite de oliva, pan, especias secas y café;" central"
inactivo;2017;transformador;inactivo;san cristobal;masculino;2. orientacion (ingreso al programa);directo;san cristobal;chorizos y arepas;"la loma "
activo;2017;productor;parque de la vida;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"san josé"
inactivo;2017;productor;inactivo;santa elena;femenino;no se encuentra inscrito;directo;santa elena;plantulas;"el placer"
activo;2017;productor;laureles;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;repollo, ruda, cebolla junca, zanahoria, remolacha, mora, maiz, frijol, oregano,calendula, cilantro, cidra, perejil, ají, arepas, hogao, huevos,;"boqueron"
activo;2016;productor;parque belén;santa elena;femenino;no se encuentra inscrito;directo;santa elena;frutas y verduras flores;"barro blanco"
inactivo;2017;productor;inactivo;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;hortalizas;"el picacho"
activo;2017;productor;indirecto;san cristobal;femenino;no se encuentra inscrito;indirecto;san cristobal;aromaticas,mora;"san josé"
inactivo;2017;transformador;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;plantas medicinales, aromaticas, especies, soya. panaderia integral aceite de oliva, pan, especias secas y café;"la palma"
activo;2017;productor-plantas;parque belén;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;flores y plantas suculentas;"el llano"
inactivo;2017;productor;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"la ilusión"
activo;2017;transformador;santa maria los angeles;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;deribados de la cebolla junca ,;"la aldea"
activo;2017;productor;parque belén;san cristobal;femenino;no se encuentra inscrito;directo;san cristobal;hortalizas;"la cuchilla"
inactivo;2017;productor;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas verduras frutas;"boqueron"
activo;2017;productor;indirecto;san cristobal;femenino;no se encuentra inscrito;indirecto;san cristobal;huevos;"la palma"
inactivo;2017;productor;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas;"media luna"
inactivo;2017;productor;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"las playas"
activo;2017;transformador;pilarica;santa elena;femenino;no se encuentra inscrito;directo;santa elena;arepas quesos;"el recreo"
activo;2017;productor;pilarica;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"el llano"
