Ciudad;Ingresos;Costos;EBIT;Intereses;Utilidad_Neta;Activos
MEDELLIN-ANTIOQUIA;42181445;45982456;-3801011;1122;-3836481;26236469
MEDELLIN-ANTIOQUIA;35381;35381;0;1829;-1962;26047337
MEDELLIN-ANTIOQUIA;6003930;5594902;409028;0;232732;22226932
MEDELLIN-ANTIOQUIA;7903000;7801000;102000;6000;-1000;10466000
MEDELLIN-ANTIOQUIA;103174;100309;2865;720;62918;4410520
MEDELLIN-ANTIOQUIA;3546736;3420953;125783;5662;-88138;2039361
MEDELLIN-ANTIOQUIA;1338842;0;1338842;0;598459;3539653
MEDELLIN-ANTIOQUIA;2411038;0;2411038;0;571814;15627783
MEDELLIN-ANTIOQUIA;0;0;0;24658;489;15578549
MEDELLIN-ANTIOQUIA;0;0;0;0;66805;30538753
MEDELLIN-ANTIOQUIA;32951;0;32951;6;23559;7549023
