Actividad;Departamento;Ingresos;Utilidad_operacional;Costos_financieros;Utilidad_neta;Activos;Pasivos;Ganancias_acumuladas
Cana de azucar;VALLE;4976530;984323;1489787;-576796;33054782;19658541;-7293899
Cana de azucar;VALLE;3298331;849297;1473781;-778797;31905311;17932275;-6717103
Platano y banano;MAGDALENA;14275150;357922;16370;222616;27530782;3245873;387678
Platano y banano;MAGDALENA;11384826;267732;10966;144131;26621033;2613940;179475
Platano y banano;MAGDALENA;71683419;8058505;158348587;16944344;124278728;75273619;44534351
Platano y banano;MAGDALENA;65462479;7212146;98249356;15220725;107698757;75637992;27590007
Cana de azucar;VALLE;3624429;207857;0;105427;29643718;8689783;661175
Cana de azucar;VALLE;2705103;223274;0;138054;30050607;9202099;569553
Platano y banano;MAGDALENA;6722460;146880;907209;-269110;20229206;10769617;6517492
Platano y banano;MAGDALENA;3924898;328030;1291988;4871507;20596791;10868092;6786602
Platano y banano;ANTIOQUIA;4910667;-226263;117254;-331793;17066980;10482401;-679267
Platano y banano;ANTIOQUIA;3638280;-384370;125824;-585188;15559103;9304305;-959321
Platano y banano;MAGDALENA;18201037;249258;13553;159884;26285298;1859832;989922
Platano y banano;MAGDALENA;15239558;303475;80941;113865;25883360;1617778;841424
Platano y banano;MAGDALENA;12322193;30010;175131;-128068;33899289;6689099;379658
Platano y banano;MAGDALENA;16612464;412358;237191;131399;31207878;13122682;520866
Platano y banano;ANTIOQUIA;17582149;4180409;170244;2721004;10825802;3883997;3299890
Platano y banano;ANTIOQUIA;12302686;1463861;298156;772749;10264448;6043637;1351635
Arroz;MAGDALENA;6267789;445903;380765;118650;5825393;4092029;1433364
Arroz;MAGDALENA;6380081;314052;122036;207231;5334407;3719693;1314714
Frutas tropicales;ANTIOQUIA;843013;242117;0;192981;3697278;967492;-178702
Frutas tropicales;ANTIOQUIA;753242;198491;0;138620;3644625;1107821;-233064
