edad;sexo;actividad;comuna
29;mujer;comercio;8
32;mujer;comercio;13
41;mujer;servicios;7
43;mujer;servicios;7
35;mujer;comercio;10
39;mujer;produccion;7
51;mujer;servicios;13
52;mujer;comercio;13
50;mujer;comercio;1
44;mujer;servicios;90
46;mujer;servicios;60
54;mujer;servicios;12
62;mujer;comercio;2
52;mujer;comercio;4
46;mujer;comercio;7
69;mujer;produccion;10
62;mujer;servicios;6
55;mujer;comercio;6
54;mujer;produccion;7
57;mujer;comercio;13
51;mujer;produccion;9
50;mujer;comercio;5
54;mujer;comercio;3
54;mujer;comercio;5
47;mujer;produccion;15
49;mujer;comercio;15
36;mujer;comercio;10
59;mujer;comercio;2
61;mujer;produccion;2
47;mujer;produccion;4
54;mujer;produccion;16
61;mujer;comercio;7
67;mujer;comercio;90
57;mujer;comercio;10
54;mujer;comercio;5
54;mujer;comercio;5
50;mujer;comercio;4
59;mujer;comercio;16
52;mujer;comercio;1
38;mujer;comercio;4
53;mujer;comercio;1
63;mujer;comercio;5
51;mujer;comercio;4
53;mujer;comercio;2
43;mujer;comercio;5
56;mujer;produccion;7
57;mujer;comercio;15
51;mujer;comercio;1
52;mujer;comercio;1
50;mujer;comercio;60
51;mujer;comercio;4
51;mujer;comercio;7
46;mujer;servicios;10
43;mujer;servicios;1
43;mujer;servicios;4
40;mujer;produccion;5
64;mujer;comercio;12
65;mujer;comercio;12
71;mujer;comercio;7
63;mujer;comercio;4
66;mujer;produccion;60
50;mujer;comercio;60
60;mujer;comercio;8
61;mujer;comercio;8
37;mujer;produccion;1
37;mujer;comercio;90
57;mujer;comercio;4
56;mujer;produccion;9
58;mujer;produccion;9
55;mujer;comercio;1
56;mujer;comercio;1
57;mujer;comercio;1
56;mujer;comercio;10
58;mujer;comercio;10
46;mujer;servicios;9
56;mujer;servicios;4
68;mujer;comercio;9
55;mujer;comercio;3
35;mujer;comercio;9
54;mujer;produccion;60
51;mujer;comercio;1
51;mujer;produccion;2
42;mujer;produccion;8
48;mujer;comercio;4
62;mujer;comercio;10
58;mujer;servicios;13
57;mujer;comercio;10
59;mujer;comercio;10
54;mujer;comercio;16
55;mujer;comercio;16
37;mujer;produccion;80
61;mujer;produccion;80
56;mujer;produccion;8
44;mujer;comercio;3
44;mujer;servicios;1
45;mujer;comercio;1
42;mujer;comercio;4
39;mujer;servicios;12
44;mujer;comercio;1
34;mujer;comercio;7
32;mujer;comercio;10
60;mujer;produccion;6
60;mujer;comercio;9
42;mujer;comercio;2
62;mujer;comercio;7
39;mujer;produccion;60
56;mujer;comercio;10
54;mujer;comercio;4
55;mujer;comercio;1
57;mujer;comercio;1
53;mujer;servicios;9
54;mujer;comercio;9
48;mujer;comercio;10
44;mujer;produccion;80
46;mujer;produccion;80
54;mujer;produccion;13
39;mujer;comercio;7
65;mujer;comercio;10
62;mujer;comercio;5
64;mujer;comercio;5
65;mujer;comercio;5
64;mujer;comercio;1
53;mujer;comercio;10
54;mujer;comercio;8
54;mujer;comercio;3
52;mujer;produccion;15
52;mujer;produccion;1
45;mujer;comercio;9
47;mujer;produccion;8
43;mujer;produccion;50
41;mujer;servicios;4
41;mujer;comercio;4
44;mujer;produccion;4
44;mujer;servicios;8
55;mujer;comercio;4
54;mujer;comercio;7
55;mujer;produccion;13
64;mujer;produccion;5
69;mujer;produccion;9
62;mujer;comercio;10
21;mujer;comercio;4
67;mujer;produccion;6
71;mujer;comercio;4
57;mujer;comercio;16
60;mujer;produccion;7
50;mujer;comercio;5
53;mujer;comercio;5
54;mujer;comercio;5
48;mujer;comercio;6
57;mujer;comercio;4
57;mujer;comercio;7
57;mujer;produccion;2
46;mujer;produccion;6
50;mujer;comercio;1
49;hombre;comercio;90
43;mujer;comercio;13
39;mujer;comercio;4
42;mujer;comercio;4
59;mujer;comercio;9
60;mujer;comercio;7
56;mujer;comercio;8
50;mujer;servicios;4
48;mujer;servicios;90
52;mujer;comercio;8
49;mujer;comercio;4
45;mujer;servicios;90
32;mujer;servicios;7
34;mujer;comercio;7
51;mujer;comercio;6
50;mujer;produccion;6
63;mujer;comercio;7
61;mujer;comercio;7
55;mujer;comercio;13
64;mujer;comercio;1
65;mujer;comercio;7
39;mujer;comercio;7
38;mujer;produccion;6
33;mujer;produccion;60
37;mujer;comercio;8
32;mujer;comercio;4
62;mujer;produccion;6
58;mujer;comercio;1
60;mujer;comercio;1
51;mujer;produccion;60
53;mujer;comercio;60
53;mujer;comercio;8
58;mujer;produccion;2
51;mujer;comercio;5
52;mujer;comercio;5
66;mujer;comercio;10
52;mujer;comercio;9
52;mujer;produccion;1
54;mujer;servicios;4
50;mujer;comercio;4
53;mujer;comercio;3
45;mujer;comercio;6
44;mujer;produccion;16
38;mujer;produccion;7
51;mujer;produccion;1
38;mujer;comercio;4
40;mujer;comercio;60
38;mujer;produccion;4
52;mujer;comercio;6
57;mujer;servicios;6
55;mujer;servicios;7
61;mujer;comercio;6
60;mujer;comercio;9
70;mujer;comercio;4
62;mujer;comercio;9
58;mujer;comercio;9
59;mujer;servicios;1
56;mujer;produccion;50
54;mujer;produccion;3
55;mujer;comercio;3
69;mujer;comercio;4
54;mujer;comercio;9
59;mujer;comercio;2
66;mujer;produccion;4
58;mujer;servicios;1
58;mujer;comercio;60
53;mujer;produccion;6
43;mujer;comercio;8
44;mujer;comercio;13
38;mujer;comercio;60
36;mujer;comercio;60
60;mujer;produccion;15
58;mujer;comercio;7
61;mujer;produccion;12
63;mujer;produccion;12
57;mujer;comercio;10
57;mujer;comercio;6
61;mujer;comercio;13
57;mujer;comercio;13
63;mujer;comercio;90
54;mujer;produccion;3
33;mujer;servicios;1
35;mujer;servicios;1
69;mujer;comercio;7
58;mujer;comercio;2
58;mujer;produccion;13
58;mujer;produccion;3
58;mujer;comercio;1
65;mujer;comercio;4
58;mujer;comercio;9
49;mujer;comercio;7
45;mujer;servicios;12
42;mujer;comercio;1
43;mujer;comercio;1
40;mujer;comercio;7
41;mujer;comercio;7
48;mujer;comercio;2
63;mujer;produccion;4
67;mujer;comercio;8
39;mujer;produccion;60
61;mujer;comercio;8
57;mujer;produccion;8
33;mujer;comercio;1
56;mujer;comercio;10
59;mujer;comercio;10
46;mujer;comercio;4
47;mujer;comercio;7
48;mujer;comercio;7
58;mujer;comercio;10
55;mujer;servicios;16
54;mujer;produccion;4
47;mujer;produccion;2
52;mujer;comercio;9
64;mujer;comercio;10
42;mujer;comercio;70
53;mujer;comercio;1
46;mujer;comercio;10
68;mujer;comercio;10
64;mujer;comercio;7
66;mujer;comercio;7
45;mujer;comercio;9
54;mujer;comercio;4
38;mujer;comercio;8
38;mujer;produccion;13
40;mujer;produccion;8
47;mujer;comercio;13
36;mujer;comercio;2
38;mujer;comercio;2
60;mujer;comercio;9
61;mujer;comercio;9
39;mujer;comercio;6
63;mujer;comercio;9
47;mujer;comercio;16
52;mujer;comercio;12
60;mujer;comercio;13
48;mujer;comercio;60
36;mujer;comercio;80
64;mujer;produccion;2
59;mujer;produccion;6
68;mujer;servicios;4
67;mujer;comercio;8
69;mujer;comercio;8
58;mujer;comercio;4
61;mujer;produccion;16
51;mujer;comercio;2
60;mujer;comercio;6
56;mujer;comercio;10
